u,v
2.000000000000000000e+00,1.000000000000000000e+00
1.935971260070800781e+00,9.954688549041748047e-01
1.877957463264465332e+00,9.914551377296447754e-01
1.825178503990173340e+00,9.879058003425598145e-01
1.776983380317687988e+00,9.847747683525085449e-01
1.732823610305786133e+00,9.820221066474914551e-01
1.692234516143798828e+00,9.796127080917358398e-01
1.654819726943969727e+00,9.775158166885375977e-01
1.620238661766052246e+00,9.757040143013000488e-01
1.588197708129882812e+00,9.741531610488891602e-01
1.558441758155822754e+00,9.728414416313171387e-01
1.530748605728149414e+00,9.717496037483215332e-01
1.504923343658447266e+00,9.708601832389831543e-01
1.480794906616210938e+00,9.701573252677917480e-01
1.458211779594421387e+00,9.696269035339355469e-01
1.437039852142333984e+00,9.692559838294982910e-01
1.417160034179687500e+00,9.690327644348144531e-01
1.398465752601623535e+00,9.689464569091796875e-01
1.380861639976501465e+00,9.689872860908508301e-01
1.364261984825134277e+00,9.691462516784667969e-01
1.348590016365051270e+00,9.694150686264038086e-01
1.333775877952575684e+00,9.697860479354858398e-01
1.319756746292114258e+00,9.702521562576293945e-01
1.306475400924682617e+00,9.708069562911987305e-01
1.293879866600036621e+00,9.714443087577819824e-01
1.281922817230224609e+00,9.721586704254150391e-01
1.270561099052429199e+00,9.729448556900024414e-01
1.259755015373229980e+00,9.737979769706726074e-01
1.249468207359313965e+00,9.747135639190673828e-01
1.239667654037475586e+00,9.756873846054077148e-01
1.230322480201721191e+00,9.767154455184936523e-01
1.221404671669006348e+00,9.777941703796386719e-01
1.212887883186340332e+00,9.789200425148010254e-01
1.204748272895812988e+00,9.800899028778076172e-01
1.196963548660278320e+00,9.813005924224853516e-01
1.189512848854064941e+00,9.825493693351745605e-01
1.182377219200134277e+00,9.838334918022155762e-01
1.175538778305053711e+00,9.851504564285278320e-01
1.168980956077575684e+00,9.864978790283203125e-01
1.162688374519348145e+00,9.878734946250915527e-01
1.156646490097045898e+00,9.892752170562744141e-01
1.150841951370239258e+00,9.907010793685913086e-01
1.145262241363525391e+00,9.921491146087646484e-01
1.139895677566528320e+00,9.936175942420959473e-01
1.134731054306030273e+00,9.951048493385314941e-01
1.129758238792419434e+00,9.966092705726623535e-01
1.124967575073242188e+00,9.981293082237243652e-01
1.120349884033203125e+00,9.996635317802429199e-01
1.115896701812744141e+00,1.001210570335388184e+00
1.111599922180175781e+00,1.002769231796264648e+00
1.107452154159545898e+00,1.004338264465332031e+00
1.103446245193481445e+00,1.005916476249694824e+00
1.099575519561767578e+00,1.007502794265747070e+00
1.095833659172058105e+00,1.009096264839172363e+00
1.092214703559875488e+00,1.010695695877075195e+00
1.088712930679321289e+00,1.012300252914428711e+00
1.085323095321655273e+00,1.013909101486206055e+00
1.082040190696716309e+00,1.015521287918090820e+00
1.078859567642211914e+00,1.017136096954345703e+00
1.075776576995849609e+00,1.018752694129943848e+00
1.072786927223205566e+00,1.020370483398437500e+00
1.069886803627014160e+00,1.021988630294799805e+00
1.067072153091430664e+00,1.023606538772583008e+00
1.064339518547058105e+00,1.025223612785339355e+00
1.061685323715209961e+00,1.026839256286621094e+00
1.059106349945068359e+00,1.028452992439270020e+00
1.056599497795104980e+00,1.030064105987548828e+00
1.054161906242370605e+00,1.031672120094299316e+00
1.051790595054626465e+00,1.033276677131652832e+00
1.049483060836791992e+00,1.034877300262451172e+00
1.047236680984497070e+00,1.036473393440246582e+00
1.045049071311950684e+00,1.038064837455749512e+00
1.042917966842651367e+00,1.039650917053222656e+00
1.040841102600097656e+00,1.041231632232666016e+00
1.038816571235656738e+00,1.042806267738342285e+00
1.036842107772827148e+00,1.044374704360961914e+00
1.034916043281555176e+00,1.045936703681945801e+00
1.033036470413208008e+00,1.047491788864135742e+00
1.031201720237731934e+00,1.049039721488952637e+00
1.029410123825073242e+00,1.050580263137817383e+00
1.027660131454467773e+00,1.052113294601440430e+00
1.025950193405151367e+00,1.053638339042663574e+00
1.024278879165649414e+00,1.055155396461486816e+00
1.022644877433776855e+00,1.056664109230041504e+00
1.021046876907348633e+00,1.058164358139038086e+00
1.019483685493469238e+00,1.059655904769897461e+00
1.017953991889953613e+00,1.061138749122619629e+00
1.016456604003906250e+00,1.062612414360046387e+00
1.014990687370300293e+00,1.064077138900756836e+00
1.013554930686950684e+00,1.065532445907592773e+00
1.012148499488830566e+00,1.066978454589843750e+00
1.010770320892333984e+00,1.068414807319641113e+00
1.009419560432434082e+00,1.069841623306274414e+00
1.008095383644104004e+00,1.071258664131164551e+00
1.006796836853027344e+00,1.072665929794311523e+00
1.005523085594177246e+00,1.074063301086425781e+00
1.004273533821105957e+00,1.075450539588928223e+00
1.003047227859497070e+00,1.076827764511108398e+00
1.001843571662902832e+00,1.078194975852966309e+00
1.000661969184875488e+00,1.079551815986633301e+00
9.995015859603881836e-01,1.080898523330688477e+00
9.983619451522827148e-01,1.082234859466552734e+00
