t, u_learned, v_learned
0.000000000000000000e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
4.809619238476953856e-02, 1.978974723279570691e+00, 1.003106609916503578e+00
9.619238476953907713e-02, 1.958605045591315319e+00, 1.006175907975071171e+00
1.442885771543086226e-01, 1.938858717003084209e+00, 1.009208060833929554e+00
1.923847695390781543e-01, 1.919705578425217274e+00, 1.012203243430852995e+00
2.404809619238476859e-01, 1.901117436000895555e+00, 1.015161638656194354e+00
2.885771543086172453e-01, 1.883067914282271271e+00, 1.018083437100327115e+00
3.366733466933867769e-01, 1.865532267871195637e+00, 1.020968836577996974e+00
3.847695390781563085e-01, 1.848487292925039771e+00, 1.023818041998871164e+00
4.328657314629258401e-01, 1.831911196336057479e+00, 1.026631265036393126e+00
4.809619238476953718e-01, 1.815783529100144067e+00, 1.029408723961248828e+00
5.290581162324649034e-01, 1.800085030567960986e+00, 1.032150643202592200e+00
5.771543086172344905e-01, 1.784797528856983950e+00, 1.034857253090073481e+00
6.252505010020039666e-01, 1.769903955836633180e+00, 1.037528789763803250e+00
6.733466933867735538e-01, 1.755388191009727317e+00, 1.040165494759993869e+00
7.214428857715430299e-01, 1.741235023435357077e+00, 1.042767614802056153e+00
7.695390781563126170e-01, 1.727430081846349053e+00, 1.045335401535750108e+00
8.176352705410822042e-01, 1.713959777800695861e+00, 1.047869111280235632e+00
8.657314629258516803e-01, 1.700811257954822020e+00, 1.050369004786021909e+00
9.138276553106212674e-01, 1.687972349223563207e+00, 1.052835346987273546e+00
9.619238476953907435e-01, 1.675431522240817150e+00, 1.055268406772396750e+00
1.010020040080160220e+00, 1.663177836144550392e+00, 1.057668456734995210e+00
1.058116232464929807e+00, 1.651200910486301909e+00, 1.060035772958694222e+00
1.106212424849699394e+00, 1.639490897335349029e+00, 1.062370634796067970e+00
1.154308617234468981e+00, 1.628038444562964093e+00, 1.064673324643538477e+00
1.202404809619238568e+00, 1.616834643780400649e+00, 1.066944127715271584e+00
1.250501002004007933e+00, 1.605871031774801727e+00, 1.069183331849018037e+00
1.298597194388777520e+00, 1.595139546561946009e+00, 1.071391227292104453e+00
1.346693386773547108e+00, 1.584632509417457813e+00, 1.073568106502567066e+00
1.394789579158316695e+00, 1.574342602976396277e+00, 1.075714263953963634e+00
1.442885771543086060e+00, 1.564262847099711529e+00, 1.077829995943815788e+00
1.490981963927855647e+00, 1.554386583019960577e+00, 1.079915600406959664e+00
1.539078156312625234e+00, 1.544707451335973758e+00, 1.081971376734498946e+00
1.587174348697394821e+00, 1.535219377624239545e+00, 1.083997625596846426e+00
1.635270541082164408e+00, 1.525916555462542901e+00, 1.085994648771966942e+00
1.683366733466933773e+00, 1.516793431363852918e+00, 1.087962748978418714e+00
1.731462925851703361e+00, 1.507844691795434677e+00, 1.089902229712988113e+00
1.779559118236472948e+00, 1.499065247695357206e+00, 1.091813395092963823e+00
1.827655310621242535e+00, 1.490450226534143718e+00, 1.093696549703909282e+00
1.875751503006011900e+00, 1.481994961331951854e+00, 1.095551998451724351e+00
1.923847695390781487e+00, 1.473694973151048471e+00, 1.097380046417727462e+00
1.971943887775551074e+00, 1.465545963738198010e+00, 1.099180998720518332e+00
2.020040080160320439e+00, 1.457543811165034509e+00, 1.100955160383046527e+00
2.068136272545090026e+00, 1.449684558349003449e+00, 1.102702836202054559e+00
2.116232464929859614e+00, 1.441964398770410272e+00, 1.104424330619404149e+00
2.164328657314629201e+00, 1.434379676353060740e+00, 1.106119947605640474e+00
2.212424849699398788e+00, 1.426926877315161990e+00, 1.107789990543215142e+00
2.260521042084168375e+00, 1.419602619354841888e+00, 1.109434762110305117e+00
2.308617234468937962e+00, 1.412403645772384531e+00, 1.111054564173413306e+00
2.356713426853707549e+00, 1.405326822911874496e+00, 1.112649697687271511e+00
2.404809619238477136e+00, 1.398369132848453100e+00, 1.114220462593220606e+00
2.452905811623246279e+00, 1.391527664316340118e+00, 1.115767157717194147e+00
2.501002004008015867e+00, 1.384799611772549621e+00, 1.117290080684957276e+00
2.549098196392785454e+00, 1.378182270295198686e+00, 1.118789527833832453e+00
2.597194388777555041e+00, 1.371673029017984158e+00, 1.120265794123420866e+00
2.645290581162324628e+00, 1.365269366604805246e+00, 1.121719173054477769e+00
2.693386773547094215e+00, 1.358968849486148711e+00, 1.123149956598079369e+00
2.741482965931863802e+00, 1.352769127134581417e+00, 1.124558435119886068e+00
2.789579158316633389e+00, 1.346667926265680659e+00, 1.125944897302434855e+00
2.837675350701402976e+00, 1.340663049624761127e+00, 1.127309630086736014e+00
2.885771543086172120e+00, 1.334752372720181102e+00, 1.128652918609261313e+00
2.933867735470941707e+00, 1.328933839280508566e+00, 1.129975046134994443e+00
2.981963927855711294e+00, 1.323205458111575084e+00, 1.131276293999567528e+00
3.030060120240480881e+00, 1.317565302571991781e+00, 1.132556941566852604e+00
3.078156312625250468e+00, 1.312011507386953824e+00, 1.133817266175717320e+00
