Time Limit,Noise Level,MSE Learned,MSE Test,Model Type,Learned Parameters
0-10,0.0,9.148087e-10,8.995426e-08,sg,1.0
0-10,0.01,2.6908747e-06,3.462692e-06,sg,0.9984
0-10,0.02,1.0364795e-05,1.3319551e-05,sg,0.9969
0-10,0.03,2.1594255e-05,2.970581e-05,sg,0.9955
0-10,0.04,4.6161564e-05,5.5886034e-05,sg,0.9934
0-10,0.05,7.6331184e-05,9.1575595e-05,sg,0.9915
10-24,0.0,3.3293013e-10,7.2644525e-06,sg,1.0
10-24,0.01,4.1799093e-09,9.707973e-06,sg,0.9999
10-24,0.02,4.838746e-08,4.4082113e-05,sg,0.9998
10-24,0.03,1.4459117e-07,2.9110663e-05,sg,0.9996
10-24,0.04,8.6711805e-07,0.00085995597,sg,1.0009
10-24,0.05,3.167589e-07,0.00031634123,sg,0.9995
0-24,0.0,1.217564e-12,5.6283316e-09,sg,1.0
0-24,0.01,2.9213616e-06,6.021107e-06,sg,0.9983
0-24,0.02,1.1386513e-05,2.6020185e-05,sg,0.9967
0-24,0.03,2.5644193e-05,5.8707305e-05,sg,0.9951
0-24,0.04,4.716688e-05,9.5171185e-05,sg,0.9933
0-24,0.05,7.327083e-05,0.00016563018,sg,0.9917
0-10,0.0,3.235782e-06,2.9009439e-06,coexistence,[0.4928 0.6945 0.3051 0.3002 0.5991]
0-10,0.01,2.6992133e-05,2.7612063e-05,coexistence,[0.5159 0.6992 0.3007 0.2909 0.6112]
0-10,0.02,0.0001502611,0.00015638844,coexistence,[0.5452 0.701  0.2988 0.2802 0.625 ]
0-10,0.03,0.00020173764,0.00021419594,coexistence,[0.5425 0.6988 0.3013 0.2726 0.633 ]
0-10,0.04,0.00040401352,0.0004306757,coexistence,[0.5662 0.6993 0.3006 0.2614 0.6467]
0-10,0.05,0.00069195667,0.000738339,coexistence,[0.59   0.6991 0.3004 0.2486 0.662 ]
10-24,0.0,0.0001522356,0.00015274159,coexistence,[0.2797 0.6812 0.3143 0.1533 0.7093]
10-24,0.01,0.0002754133,0.00027040995,coexistence,[0.2887 0.6339 0.3506 0.1206 0.736 ]
10-24,0.02,0.0006117353,0.0006253624,coexistence,[0.2351 0.5846 0.3884 0.0266 0.8083]
10-24,0.03,0.0010526696,0.001049957,coexistence,[0.2619 0.5368 0.4247 0.0315 0.8061]
10-24,0.04,0.0023246252,0.0023733685,coexistence,[0.3206 0.4631 0.4815 0.0305 0.8094]
10-24,0.05,0.0034889865,0.0034952303,coexistence,[0.3266 0.4222 0.513  0.0313 0.809 ]
0-24,0.0,4.0689963e-07,2.9700976e-07,coexistence,[0.4988 0.6962 0.3031 0.2989 0.6009]
0-24,0.01,1.8986825e-06,5.684505e-06,coexistence,[0.5071 0.7043 0.2965 0.2993 0.6015]
0-24,0.02,9.9855315e-06,2.089847e-05,coexistence,[0.516  0.7118 0.2907 0.3026 0.6   ]
0-24,0.03,2.0156545e-05,4.942076e-05,coexistence,[0.5118 0.7189 0.2847 0.304  0.5993]
0-24,0.04,6.652767e-05,8.6213964e-05,coexistence,[0.3895 0.7247 0.2801 0.2579 0.634 ]
0-24,0.05,5.933434e-05,0.00013916925,coexistence,[0.4728 0.7313 0.2746 0.2969 0.6058]
0-10,0.0,6.365742e-07,3.2137794e-07,survival,[0.4791 0.3    0.5994 0.7155 0.288 ]
0-10,0.01,5.9600707e-06,4.5904417e-06,survival,[0.464  0.3004 0.5975 0.7312 0.2706]
0-10,0.02,1.8215609e-05,1.6999998e-05,survival,[0.4447 0.3007 0.5957 0.751  0.2517]
0-10,0.03,4.4575394e-05,3.4071094e-05,survival,[0.4243 0.3011 0.5939 0.7732 0.2326]
0-10,0.04,6.777737e-05,6.137873e-05,survival,[0.401  0.3013 0.592  0.7999 0.2118]
0-10,0.05,0.000103773804,9.370735e-05,survival,[0.3761 0.3016 0.5902 0.8316 0.1883]
10-24,0.0,0.012420088,0.012143225,survival,[1.6174 0.3001 0.3884 0.4953 0.0316]
10-24,0.01,0.008641712,0.008531804,survival,[1.3348 0.3002 0.3827 0.5045 0.0314]
10-24,0.02,0.007173062,0.007131902,survival,[1.0848 0.3001 0.3758 0.5209 0.0278]
10-24,0.03,0.007445786,0.007488694,survival,[0.9337 0.3001 0.3692 0.5369 0.024 ]
10-24,0.04,0.009769014,0.009985659,survival,[0.699  0.3002 0.3565 0.5743 0.0304]
10-24,0.05,0.012648441,0.012951058,survival,[0.5675 0.3002 0.3444 0.615  0.0271]
0-24,0.0,2.2512008e-06,5.814855e-07,survival,[0.4812 0.3001 0.5995 0.7149 0.2854]
0-24,0.01,6.0293405e-06,4.1958497e-06,survival,[0.3749 0.3001 0.5982 0.8094 0.2583]
0-24,0.02,1.977401e-05,1.7213604e-05,survival,[0.2682 0.3002 0.5969 0.9793 0.2103]
0-24,0.03,3.6381607e-05,4.1928146e-05,survival,[0.1573 0.3002 0.5962 1.3991 0.0985]
0-24,0.04,6.8068024e-05,7.129674e-05,survival,[0.1039 0.3004 0.5956 1.9043 0.0041]
0-24,0.05,0.000105298706,0.00010992179,survival,[0.0841 0.3005 0.5957 2.2219 0.0317]
