Time Limit,Noise Level,MSE Learned,MSE Test,Model Type,Learned Parameters
0-10,0.01,2.7989515625166592e-06,4.471179577147079e-06,sg,0.9983711963700482
0-10,0.02,1.1802829306488753e-05,1.729382609716147e-05,sg,0.9966552526428825
0-10,0.03,2.764767609485976e-05,4.271717270370074e-05,sg,0.9948808386121102
0-10,0.04,4.846557208567616e-05,6.379237139590019e-05,sg,0.9932222502643883
0-10,0.05,7.413760179387638e-05,0.0001094557934528,sg,0.9916172260136206
0-10,0.0,2.448361391959275e-10,1.1292399231173168e-09,sg,1.0000152338471477
0-24,0.01,7.030240526564832e-07,5.996541306883924e-06,sg,1.00081631417884
0-24,0.02,2.7999944723862764e-06,2.5684295479083228e-05,sg,1.001629113185483
0-24,0.03,6.626945109684234e-06,5.5194747473706215e-05,sg,1.0025062814053118
0-24,0.04,1.1767619200483924e-05,0.000101609720783,sg,1.0033397803980495
0-24,0.05,1.8444817527359304e-05,0.0001545739830701,sg,1.0041812994328343
0-24,0.0,5.98257780605632e-11,4.362874514907009e-08,sg,1.000007530364957
10-24,0.01,3.2342240479795733e-06,3.776101034856132e-05,sg,1.0017508856680428
10-24,0.02,1.287209452158895e-05,7.004416350147238e-05,sg,1.0034929977359066
10-24,0.03,3.554081695279699e-05,0.0059807632129619,sg,1.0058041531395105
10-24,0.04,6.30978346465245e-05,0.0085248706882107,sg,1.0077336331561368
10-24,0.05,9.824787591086128e-05,0.0103716544400479,sg,1.0096502624434918
10-24,0.0,2.157621470620451e-12,7.380511229681838e-07,sg,1.0000014300773437
0-10,0.01,2.7113990794195992e-05,2.418866418462208e-05,coexistence,[0.41487645 0.69311585 0.30744681 0.28807044 0.60554396]
0-10,0.02,0.0001455220894451,0.0001406333813847,coexistence,[0.34065979 0.68468228 0.316604   0.27963363 0.6062658 ]
0-10,0.03,0.0004808345981726,0.0004754464859573,coexistence,[0.2627941  0.67632959 0.32578135 0.2723352  0.60073168]
0-10,0.04,0.0011096304156792,0.0011097500574266,coexistence,[0.19279666 0.66781519 0.33483563 0.26363642 0.58924264]
0-10,0.05,0.0022858027140422,0.0023115991149191,coexistence,[0.12678027 0.65936626 0.34387411 0.25044953 0.56294654]
0-10,0.0,5.446781472820418e-07,7.867312139579658e-07,coexistence,[0.48940636 0.70138263 0.29841854 0.29685741 0.60219242]
0-24,0.01,5.907045787647855e-06,6.7762496050784216e-06,coexistence,[0.47663761 0.69024381 0.30866439 0.28064669 0.6158045 ]
0-24,0.02,2.384446548393037e-05,2.6848714810637613e-05,coexistence,[0.4514023  0.67976372 0.31790841 0.25994344 0.63259644]
0-24,0.03,5.955539482065087e-05,6.0542581670475584e-05,coexistence,[0.41600298 0.66734602 0.32876184 0.2333482  0.65378107]
0-24,0.04,0.000102672459056,0.0001092596897746,coexistence,[0.39484416 0.65248658 0.34153793 0.2124327  0.6706887 ]
0-24,0.05,0.0004068729870326,0.000178541825807,coexistence,[ 0.1981351   0.66896933  0.32870909 -0.          0.82822629]
